scenario_id,description
AnimalCrashWithPriorManeuver,"Vehicle is leaving a parked position in a
rural area at night, under clear weather conditions; and
encounters an animal at a non-junction area."
BackingUpIntoAnotherVehicle,"Vehicle is backing up in an urban
area, in daylight, under clear weather conditions, at a
driveway or alley location, with a posted speed limit
of 25 mph; and collides with another vehicle."
EncroachingOncomingVehicle,"A vehicle equipped with an ADS feature is driving along a straight highway with one or more
lanes. Another moving vehicle is approaching in an opposing lane of travel and begins to drift
into the SV’s lane of travel such that a collision would occur if the SV did not react."
Following Vehicle Approaching Lead Vehicle Moving at Lower Constant Speed,"Vehicle is going straight in an urban
area, in daylight, under clear weather conditions, at a non-
junction with a posted speed limit of 55 mph or more; and
closes in on a lead vehicle moving at lower constant
speed."
Following Vehicle Approaching a Decelerating Lead Vehicle,"Vehicle is going straight and following
another lead vehicle in a rural area, in daylight, under
clear weather conditions, at a non-junction with a posted
speed limit of 55 mph or more; and the lead vehicle
suddenly decelerates."
Following Vehicle Approaching an Accelerating Lead Vehicle,"Vehicle is going straight in an urban
area, in daylight, under clear weather conditions, at an
intersection-related location with a posted speed limit of
45 mph; and closes in on an accelerating lead vehicle."
Left Turn Across Path From Opposite Directions at Non-Signalized Junctions,"Vehicle is turning left, in
daylight, under clear weather conditions, at an
intersection without traffic controls, with a posted
speed limit of 35 mph; and then cuts across the path
of another vehicle traveling from the opposite
direction."
Left Turn across Path from Opposite Directions at Signalized Junctions,"Vehicle is turning left in an urban
area, in daylight, under clear weather conditions, at
a signalized intersection with a posted speed limit of
35 mph; and cuts across the path of another vehicle
straight crossing from an opposite direction."
MoveOutOfTravelLane,"A vehicle equipped with an ADS feature is driving along a straight urban street with one or more
lanes. It needs to move out of the active travel lanes to a parking area to allow passengers to
embark or disembark."
Straight Crossing Paths at Non-Signalized Junctions,"Vehicle stops at a stop sign in an urban
area, in daylight, under clear weather conditions, at an
intersection with a posted speed limit of 25 mph; and then
proceeds against lateral crossing traffic."
Vehicle Contacting Object Without Prior Vehicle Maneuver,"Vehicle is going straight in a rural area
at night, under clear weather conditions, at a non-junction
location with a posted speed limit of 55 mph or more; and
collides with an object on the road."
Vehicle Taking Evasive Action With Prior Vehicle Maneuver,"Vehicle is turning left at an intersection-
related location, in an urban area, in daylight, under clear
weather conditions, with a posted speed limit of 35 mph;
and takes an evasive action to avoid an obstacle."
Vehicle Turning Right at Signalized Junctions,"Vehicle is turning right in an urban
area, in daylight, under clear weather conditions, at a
signalized intersection with a posted speed limit of 35
mph; and turns into the same direction of another
vehicle crossing straight initially from a lateral
direction."
VehicleDrifting_VehicleTravelingInSameDirection,"Vehicle is going straight in an
urban area, in daylight, under clear weather
conditions, at a non-junction with a posted speed limit
of 55 mph or more; and then drifts into an adjace
vehicle traveling in the same direction."
VehicleParking_VehicleTravelingInSameDirection,"Vehicle is leaving a parked position
in an urban area, in daylight, under clear weather
conditions, with a posted speed limit of 25 mph; and
encounters another vehicle traveling in the same
direction at a non-junction area."
aborted_enter_lead_r,"The blue ego car is traveling directly straight in the center lane. Ahead and to the right, the pink lead car follows a wavy arrow trajectory that curves upward toward the middle lane before veering back down."
aborted_lc_l_3,"The blue ego car executes an aborted lane change left by curving toward the left lane before steering back into the center. Two pink adversarial cars travel straight in that left lane, acting as the lead object and following object during this maneuver."
approach_lat_crossing_traffic_area_from_right,The blue ego car travels straight along its lane. It approaches a pink adversarial object that is laterally moving and crossing the ego-traffic area from the right.
approach_reversing,The blue ego car travels straight forward within its lane. It approaches a pink adversarial object directly ahead that is reversing backward toward it.
cut_through_r,"the blue ego car travels straight forward within the middle lane. The pink adversarial car executes a ""cut through from right"" by crossing directly in front of the ego car's path from the right lane to the left lane."
enter_turning_reversing_left,"the blue ego car drives straight forward within the middle lane. Ahead and to the left, the pink adversarial car executes an ""object entering turning reversing from left"" maneuver by backing up and curving into the adjacent lanes."
exit_parallel_reversing_left,"the blue ego car travels straight forward within the lower lane. Directly ahead, the pink adversarial car executes an ""object exiting parallel reversing to the left"" maneuver by backing up and curving toward the left lane."
lc_from_oc_1,"the blue ego car executes a ""lane change from oncoming traffic with leading vehicle"" by steering from the left lane into the right lane. The pink adversarial cars represent the oncoming traffic approaching in the left lane and the leading vehicle traveling ahead in the right lane."
left_turn_free,the blue ego car execute a free left turn at the intersection
left_turn_with_obj_from_left_passing_straight_intersecting,"the blue ego car attempts to make a left turn at the intersection. The pink adversarial car approaches from the left and passes straight through, creating an intersecting conflict directly across the ego car's path."
left_turn_with_obj_from_right_turning_right,"the blue ego car enters the intersection to execute a left turn. Simultaneously, the pink adversarial car approaches from the right side and turns right, completing the scenario of a left turn with an object from the right turning right."
left_turn_with_oncoming_obj_turning_right,"the blue ego car enters the intersection to execute a left turn. The pink adversarial car approaches from the opposite direction and turns right, resulting in a left turn with oncoming object turning right."
merging_cut_through_r_0,"the blue ego car begins merging from the middle lane into the right lane. At the same time, the pink adversarial car ahead executes a ""merging cut through right without following vehicle"" maneuver by crossing directly down from the left lane into the right lane."
multi_lcs_l,"the blue ego car executes ""multiple lane changes left"" by moving continuously from the right lane across to the left lane."
neighbor_exiting_r,"the blue ego car travels straight forward within its lane. Beside it, the pink adversarial car executes an ""object exiting from the right side of ego"" maneuver by steering away into the right lane."
neighbor_in_intersection_right,"the blue ego car travels straight forward through the intersection from the left lane. Simultaneously, the pink adversarial car moves straight ahead alongside it in the right lane, demonstrating an ""object staying right in intersection"" maneuver."
pass_obj_in_intersection_parallel_left,"the blue ego car travels straight through the intersection from the right-hand lane. Directly to its left, the pink adversarial car also drives straight ahead, completing the scenario to ""pass object on the left parallel in intersection."""
pass_obj_left_moving_toward_turning_right,"the blue ego car is positioned at the intersection while the pink adversarial car approaches from the left side. The pink vehicle then executes a ""pass object on the left moving towards ego, turning right"" maneuver by making a right turn into the downward street."
