scenario_id,description,assigned_types,road_topology,area
AnimalCrashWithoutPriorVehicleManeuver,"Vehicle is going straight in a rural area
at night, under clear weather conditions, with a posted
speed limit of 55 mph or more; and encounters an animal
at a non-junction location.",50 AnimalOnRoad,,rural
CBFA_BicycleFromFarSide,"a collision in which a vehicle travels forwards towards
a bicyclist crossing its path cycling from the farside and the frontal structure of the vehicle strikes
the bicyclist when no braking action is applied.",14 DynamicObjectCrossing,,
CBNAO_BicycleNearSide,"a collision in which a vehicle travels
forwards towards a bicyclist crossing its path cycling from the nearside from behind an obstruction
and the frontal structure of the vehicle strikes the bicyclist when no braking action is applied.",14 DynamicObjectCrossing,,
CCCscp_obstructed,"a collision in which a vehicle travels
forwards along a straight path across a junction, towards a vehicle crossing the junction on a
perpendicular path. The frontal structure of the vehicle under test strikes the side of the other
vehicle.",58 PerpendicularCrossingConflict,4-way intersection,
CPNCO_RunningChildFromNearSide,"a collision in which a vehicle travels
forwards towards a child pedestrian crossing its path running from behind and obstruction from
the nearside and the frontal structure of the vehicle strikes the pedestrian when no braking action
is applied.",14 DynamicObjectCrossing; 15 ParkingCrossingPedestrian,,
DetectAndRespondToSchoolBus,"A vehicle equipped with an ADS feature is driving along a straight, undivided, multilane
highway. It approaches a school bus that is stopped in an opposing lane, with lights and signs
activated, to allow students to disembark.",51 HeavyVehicle,straight road,highway
Following Vehicle Approaching a Stopped Lead Vehicle,"Vehicle is going straight in an urban
area, in daylight, under clear weather conditions, at an
intersection-related location with a posted speed limit of
35 mph; and closes in on a stopped lead vehicle.",22 BlockedIntersection,4-way intersection,urban
FollowingVehicleMakingAManeuverAndApproachingLeadVehicle,"Vehicle is changing lanes or
passing in an urban area, in daylight, under clear
weather conditions, at a non-junction with a posted
speed limit of 55 mph; and closes in on a lead
vehicle.",43 LaneChange,,urban
LowSpeedMerge,A vehicle equipped with an ADS feature is driving along a straight urban street with multiple lanes. It is approaching a necessary turn and needs to change lanes to position itself in the appropriate lane to make the turn.,31 MergerIntoSlowTraffic; 32 MergerIntoSlowTrafficV2,straight road,urban
Vehicle Contacting Object with Prior Vehicle Maneuver,"Vehicle is leaving a parked position at night,
in an urban area, under clear weather conditions, at a non-
junction location with a posted speed limit of 25 mph; and
collides with an object on road shoulder or parking lane.",2 ParkingExit; 5 ParkedObstacle,,urban
Vehicle Taking Evasive Action Without Prior Vehicle Maneuver,"Vehicle is going straight in an
urban area, in daylight, under clear weather
conditions, at a non-junction location with a posted
speed limit of 35 mph; and takes an evasive action
to avoid an obstacle.",54 EmergencyObstacleAvoidance,,urban
VehicleChangingLanes_VehiclesTravelingInSameDirection,"Vehicle is changing lanes in an
urban area, in daylight, under clear weather
conditions, at a non-junction with a posted speed limit
of 55 mph or more; and then encroaches into anothe
vehicle traveling in the same direction.",43 LaneChange,,urban
VehicleMakingAManeuver_VehicleTravelingInOppositeDirection,"Vehicle is passing another
vehicle in a rural area, in daylight, under clear
weather conditions, at a non-junction with a posted
speed limit of 55 mph or more; and encroaches i
another vehicle traveling in the opposite direction.",55 OvertakingIntoOncomingLane,,rural
