scenario_id,description
CARLA_Leaderboard_10,CARLA_Leaderboard_10;The ego-vehicle must cross a lane of moving traffic to exit the highway at an off-ramp.
CARLA_Leaderboard_12,"CARLA_Leaderboard_12;The ego-vehicle encounters an obstacle blocking the lane and must perform a lane change into traffic moving in the same direction to avoid it. The obstacle may be a construction site, an accident or a parked vehicle."
CARLA_Leaderboard_13,"CARLA_Leaderboard_13;The ego-vehicle encounters an obstacle blocking the lane and must perform a lane change into traffic moving in the opposite direction to avoid it. The obstacle may be a construction site, an accident or a parked vehicle."
CARLA_Leaderboard_16,CARLA_Leaderboard_16;The ego-vehicle encounters a slow moving hazard blocking part of the lane. The ego-vehicle must brake or maneuver to avoid it next to a lane of traffic moving in the opposite direction.
CARLA_Leaderboard_17,CARLA_Leaderboard_17;The ego-vehicle encounters an oncoming vehicles invading its lane on a bend due to an obstacle. It must brake or maneuver to the side of the road to navigate past the oncoming traffic.
CARLA_Leaderboard_18,CARLA_Leaderboard_18;The leading vehicle decelerates suddenly due to an obstacle and the ego-vehicle must perform an emergency brake or an avoidance maneuver.
CARLA_Leaderboard_20,CARLA_Leaderboard_20;The ego-vehicle encounters an pedestrian emerging from behind a parked vehicle and advancing into the lane. The ego-vehicle must brake or maneuver to avoid it.
CARLA_Leaderboard_21,"CARLA_Leaderboard_21;While performing a maneuver, the ego-vehicle encounters an obstacle in the road, either a pedestrian or a bicycle, and must perform an emergency brake or an avoidance maneuver."
CARLA_Leaderboard_24,CARLA_Leaderboard_24;The ego-vehicle must exit a parallel parking bay into a flow of traffic.
CARLA_Leaderboard_8,"CARLA_Leaderboard_8;The ego-vehicle encounters a vehicle merging into its lane from a highway on-ramp. The ego-vehicle must decelerate, brake or change lane to avoid a collision."
NHTSA_Crash_14,NHTSA_Crash_14;Vehicle A and vehicle B were both heading in the same direction on a multi-lane road in different lanes. B attempted to turn from the curb lane across the path of A onto a side street. Driver A struck illegally turning B in the driver's side.
NHTSA_Crash_15,"NHTSA_Crash_15;A northbound vehicle, A, was waiting to make a left turn. The light changed and the northbound vehicle began to turn left. A southbound driver, B, accelerated hard, hoping to make the light and struck Vehicle A."
NHTSA_PreCrash_12,"NHTSA_PreCrash_12;Vehicle is backing up in an urban area, in daylight, under clear weather conditions, at a driveway or alley location, with a posted speed limit of 25 mph; and collides with another vehicle"
NHTSA_PreCrash_16,"NHTSA_PreCrash_16;Vehicle is passing another vehicle in a rural area, in daylight, under clear weather conditions, at a non-junction with a posted speed limit of 55 mph or more; and encroaches into another vehicle traveling in the opposite direction"
NHTSA_PreCrash_18,"NHTSA_PreCrash_18;Vehicle is changing lanes or passing in an urban area, in daylight, under clear weather conditions, at a non-junction with a posted speed limit of 55 mph; and closes in on a lead vehicle"
NHTSA_PreCrash_20,"NHTSA_PreCrash_20;Vehicle is going straight in an urban area, in daylight, under clear weather conditions, at a non-junction with a posted speed limit of 55 mph or more; and closes in on a lead vehicle moving at lower constant speed"
NHTSA_PreCrash_27,"NHTSA_PreCrash_27;Vehicle stops at a stop sign in a rural area, in daylight, under clear weather conditions, at an intersection with a posted speed limit of 35 mph; and proceeds to turn left against lateral crossing traffic"
NHTSA_PreCrash_29,"NHTSA_PreCrash_29;Vehicle is going straight in an urban area, in daylight, under clear weather conditions, at a non-junction location with a posted speed limit of 35 mph; and takes an evasive action to avoid an obstacle"
UN_R152_3,"UN_R152_3;the subject vehicle drives a small radius curved road of which the guard pipes are constructed to the outer side, and a stationary vehicle (M1 category), a stationary pedestrian target or a stationary bicycle target is positioned just outside of the guard pipes and where on the extension of the centre of the lane"
UN_R171_3,"UN_R171_3;The ego vehicle initiates a driver-requested lane change on a multi-lane road, but must detect and yield to a high-speed vehicle approaching from the rear in the target lane, delaying the maneuver until the overtaking vehicle has safely passed."
UN_R171_4,"UN_R171_4;While traveling on a straight section, the ego vehicle want to performs a lane change to overtake a lead vehicle but remains in its current lane because it detects a motorcycle filtering or approaching rapidly from behind in the adjacent lane, ensuring the target space is clear before moving."
UN_R171_5,"UN_R171_5;The ego vehicle attempts to initiate a lane change while a parallel passenger car maintains a steady position directly in the ""blind spot"" or adjacent zone, requiring the ego vehicle to maintain its lane and wait for the adjacent vehicle to either accelerate or fall back before executing the lateral shift."
UN_R171_7,"UN_R171_7;The ego vehicle follows a lead vehicle in a straight lane for over two seconds with a lateral offset of less than one meter, then ego vehicle successfully completes a full lane change maneuver involving a 3.5-meter lateral displacement into the adjacent lane"
aborted_lc_r_1,"the ego car steers toward the right lane before veering back into its original path to perform an aborted lane change right. The adversarial car proceeds straight ahead in the adjacent right lane, acting as the lead object in this scenario."
aborted_lc_r_2,"the ego car steers toward the right lane before veering back into its original path to perform an aborted lane change right. Behind it, the adversarial car moves straight ahead in the adjacent right lane, acting as the following object in this scenario."
approach_overlapping_lead_l,the ego car travels straight forward within its lane. It approaches a leading adversarial object that is overlapping its lane to the left.
enter_lead_r,"the ego car travels straight forward within the middle lane. Ahead of it, the adversarial object moves across the lane, illustrating the scenario of a lead object entering from the right."
enter_turning_forward_left,"the ego car travels straight forward within the middle lane. Meanwhile, an adversarial object cuts ahead by turning from the left lane toward the right."
exit_oncoming_within_ego_traffic_area,"the ego car travels straight forward within its lane. Ahead of it, an oncoming adversarial object exits the ego's traffic area by veering into the adjacent lane."
exit_parallel_forward_right,"the ego car travels straight forward within its lane. Ahead of it, an adversarial object exits parallel forward, leaving the ego-traffic area to the right."
follow_overlapping_l,the ego car travels straight forward within its lane. It follows an adversarial object driving ahead that is overlapping its lane to the left.
left_turn_with_obj_from_right_making_a_u-turn,"the ego car executes a left turn at the intersection. Meanwhile, an adversarial object entering from the right makes a u-turn within the intersection."
left_turn_with_oncoming_obj_passing_straight_intersecting,"the ego car initiates a left turn at the intersection. Simultaneously, an oncoming adversarial object drives straight through the intersection from the opposite direction."
parallel_entry_turning_left_with_obj_left_passing_straight,"the ego car executes a left turn at the intersection from the right lane. Simultaneously, an adversarial object entering parallel from the left lane proceeds straight ahead, illustrating the scenario of a parallel entry turning left with an object from the left passing straight."
pass_obj_in_intersection_parallel_right,"the ego car drives straight forward through the intersection. In doing so, it passes an adversarial object moving parallel to it on the adjacent right lane, fulfilling the ""pass object on the right parallel in intersection"" scenario."
pass_obj_left_moving_away_turning_left,the ego car is positioned at the intersection. It passes an adversarial object on the left that is turning left and moving away into the cross street.
pass_obj_left_moving_toward_making_u-turn,the ego car is positioned at the intersection. It passes an adversarial object on the left that is moving towards the ego while making a u-turn.
pass_obj_left_moving_toward_turning_left,the ego car is positioned at the intersection. It passes an adversarial object on the left that is moving towards the ego while turning left.
pass_standstill,"the ego car travels straight ahead through the intersection. Along its path, it passes an adversarial object that is standing still."
pass_straight_with_obj_from_right_crossing_before_node,"the ego car travels straight forward through the intersection. Simultaneously, an adversarial object crosses the street from the right side before reaching the intersection node."
pass_straight_with_obj_from_right_entering_after_node,"the ego car travels straight forward through the intersection. Meanwhile, an adversarial object enters from the right side after the intersection node."
pass_straight_with_obj_from_right_turning_left_intersecting,"the ego car proceeds straight through the intersection from the bottom lane. Meanwhile, an adversarial object from the right turns left across its path, creating an intersecting conflict."
pass_straight_with_oncoming_obj_making_a_u-turn,"the ego car travels straight forward through the intersection. Meanwhile, an oncoming adversarial object from the opposite direction executes a u-turn."
passed_in_lane_l,"the ego car drives straight forward within its lane. Meanwhile, an adversarial motorcycle passes it from the adjacent left lane."
right_turn_approaching_lead,"the ego car initiates a right turn at the intersection. While turning, it approaches a leading adversarial object that is also turning right."
right_turn_with_obj_from_left_turning_left,"the ego car executes a right turn at the intersection. Simultaneously, an adversarial object entering from the left lane makes a left turn through the intersection."
right_turn_with_obj_from_left_turning_right,"the ego car executes a right turn at the intersection. Simultaneously, an adversarial object approaching from the left also makes a right turn."
right_turn_with_obj_from_right_passing_straight,"the ego car executes a right turn at the intersection. Meanwhile, an adversarial object approaching from the right passes straight through the crossing."
u-turn_with_obj_from_left_crossing_before_node,"the ego car executes a u-turn at the intersection. Meanwhile, an adversarial object from the left crosses the street before the intersection node."
u-turn_with_obj_from_right_passing_straight,"the ego car executes a u-turn at the intersection. Meanwhile, an adversarial object approaching from the right passes straight through the crossing."
