scenario_id,description,assigned_types,road_topology,area
CBLA_50_50kph,a collision in which a vehicle travels forwards towards a bicyclist cycling in the same direction in front of the vehicle where the vehicle would strike the cyclist when no braking action is applied or an evasive steering action is initiated after an FCW.,54 EmergencyObstacleAvoidance,,
CCFhol,a collision where a vehicle is travelling along a straight path within its defined lane and strikes another vehicle travelling in the opposite direction which has intentionally moved into the lane of the original vehicle to attempt an overtake. The frontal structure of the vehicle strikes the frontal structure of the other.,18 InvadingTurn,,
CCFtap_10kph_30kph,"a collision in which a vehicle turns across the path of an oncoming vehicle travelling at constant speed, and the frontal structure of the vehicle strikes the front structure of the other.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,,
CCRm_50kph,a collision in which a vehicle travels forwards towards another vehicle that is travelling at constant speed and the frontal structure of the vehicle strikes the rear structure of the other.,16 HardBrake,,
CMCscp_20kph_20kph_FS,"a collision in which a vehicle travels forwards along a straight path across a junction, towards a motorcyclist crossing the junction on a perpendicular path. The frontal structure of the vehicle under test strikes the front of the motorcycle.",58 PerpendicularCrossingConflict,4-way intersection,
CMRb_50kph,"a collision in which a vehicle travels forwards towards a motorcyclist that is travelling at constant speed and then decelerates, and the frontal structure of the vehicle strikes the rear of the motorcycle.",16 HardBrake,,
CPFA_50_50kph,a collision in which a vehicle travels forwards towards an adult pedestrian crossing its path running from the farside and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.,14 DynamicObjectCrossing,,
CPNA_25_50kph,a collision in which a vehicle travels forwards towards an adult pedestrian crossing its path walking from the nearside and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.,14 DynamicObjectCrossing,,
CPTA,"a collision in which a vehicle turns towards an adult pedestrian crossing its path, walking across a junction (in either the same and opposite direction as the VUT, before the VUT made the turn) and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.",20 VehicleTurningRoutePedestrian,4-way intersection,
MD_BlockedLaneObstacle1,"The ego vehicle travels straight along an urban, multi-lane street under clear weather conditions but is forced to wait before navigating through the upcoming 4-way intersection. As the ego vehicle approaches, two adversary vehicles are stopped directly in front of it within the ego's driving lane, while two other adversary vehicles on the right side of the ego drive straight ahead.",22 BlockedIntersection,4-way intersection,urban
MD_BlockedLaneObstacle2,"The ego vehicle travels straight through an urban, multi-lane 4-way intersection under clear weather conditions behind a front vehicle. As the ego vehicle proceeds, the front vehicle that is initially driving suddenly brakes and stops moving in the lane ahead, while at the same time there are two vehicles driving straight on the right lane.",16 HardBrake,4-way intersection,urban
MD_Highway_On-Ramp_Merge2,"The ego vehicle travels along an on-ramp to merge into a multi-lane highway under dark weather conditions. As the ego vehicle approaches the merge point, it slows down to yield the right-of-way to two adversary vehicles traveling with their headlights and taillights visible in the main highway lane, allowing them to pass first before the ego vehicle safely completes its merge into the lane.",32 MergerIntoSlowTrafficV2,on-ramp,highway
MD_Highway_On-Ramp_Merge6,"The ego vehicle travels along an on-ramp and merges left into a multi-lane highway under clear weather conditions. As the ego vehicle merges, a front vehicle ahead of it on the ramp also merges into the main highway lane, while an adversary vehicle already on the highway travels at the back of the target lane behind them.",32 MergerIntoSlowTrafficV2,on-ramp,highway
