scenario_id,description,assigned_types,road_topology,area
BLO_3,"On a straight road section between two 4-way intersections, the ego vehicle (green box) is heavily obstructed by a cluster of stopped or slow-moving adversaries (yellow boxes) directly ahead and to its sides. This traffic bottleneck completely blocks the ego's forward path, forcing it to remain stationary.",22 BlockedIntersection,straight road,
HORM_10,"Traveling on an on-ramp, the ego vehicle (green box) attempts to merge onto a multi-lane highway while following directly behind a leading adversary (yellow box). As they reach the merge point, the ego vehicle must coordinate its speed and positioning not only with the vehicle ahead but also with multiple adversaries already established on the main road, managing the tight spacing to merge safely.",32 MergerIntoSlowTrafficV2,on-ramp,highway
HORM_3,"The ego vehicle is traveling down an on-ramp and merges onto a multi-lane straight road in a suburban area. A white car followed by a red truck are traveling on the main road to the rear-left of the ego vehicle, continuing straight in their lane. The presence of these oncoming vehicles requires the ego vehicle to safely time its merge ahead of them.",32 MergerIntoSlowTrafficV2; 51 HeavyVehicle,on-ramp; straight road,
HORM_7,"The ego vehicle is traveling down an on-ramp and merges onto a multi-lane straight road in a suburban area. A single red car is traveling ahead on the main road to the front-left of the ego vehicle, continuing straight in its lane. The ego vehicle must maintain a safe following distance as it completes its merge behind this leading vehicle.",32 MergerIntoSlowTrafficV2,on-ramp; straight road,
IDR_3,The ego vehicle travels straight through a 4-way intersection from a lane marked with a stop sign on a multi-lane road in an urban area. An adversary vehicle approaching from the left cross-street executes a left turn into the same target road ahead of the ego vehicle. The ego vehicle must monitor this turning adversary to maintain a safe distance and avoid a potential conflict as they both enter the same roadway.,52 JunctionEntryCutIn; 40 VinillaNonSignalizedTurnEncounterStopsign,4-way intersection,urban
IDR_5,"The ego vehicle travels straight through a 4-way intersection at night in an urban area, encountering multiple adversary vehicles entering the intersection simultaneously. An oncoming vehicle from the opposing arm executes a left turn across the ego's path, while multiple vehicles from the left cross-street enter the intersection to turn or proceed straight. The ego vehicle must halt or navigate carefully within the intersection to yield to these intersecting and turning adversaries to prevent a collision.",37 OppositeVehicleRunningRedLight; 38 OppositeVehicleTakingPriority,4-way intersection,urban
InterDrive_r13_town05_ins_sl,"At a 4-way intersection, the ego vehicle (green box) moves straight ahead through the junction. Concurrently, an adversary (yellow box) from the right arm enters the intersection and executes a sharp left-hand turn, crossing into the path ahead of the ego vehicle.",58 PerpendicularCrossingConflict,4-way intersection,
InterDrive_r19_town05_ins_sr,The ego vehicle travels straight through a 4-way intersection from a lane marked with a stop sign on a multi-lane road in an urban area. An adversary vehicle approaching from the right cross-street executes a right turn into the same target lane ahead of the ego vehicle. The ego vehicle must monitor this leading adversary to maintain a safe following distance as they both proceed down the same roadway.,52 JunctionEntryCutIn; 40 VinillaNonSignalizedTurnEncounterStopsign,4-way intersection,urban
InterDrive_r1_town05_ins_c,"The ego vehicle travels on a multi-lane straight road in an urban area and intends to execute a left lane change at a 4-way intersection. A stationary red vehicle is positioned directly ahead of the ego vehicle at the intersection's stop line, temporarily blocking the lane. The ego vehicle must wait for this leading adversary to drive forward first before safely performing its lane change maneuver.",22 BlockedIntersection; 43 LaneChange,4-way intersection; straight road,urban
InterDrive_r35_town05_ins_crosschange,"Initially traveling in the left lane, the ego vehicle (green box) intends to change lanes to the right to execute a right turn at an upcoming 4-way intersection. However, it is forced to slow down and wait due to stationary or slow-moving adversaries (yellow boxes) blocking both its current lane directly ahead and the adjacent right lane, preventing an immediate lane change.",43 LaneChange,4-way intersection,
MMUE_3,"The ego vehicle follows a lead vehicle straight through a T-junction at night in an urban area. An oncoming adversary vehicle approaches from the opposing arm and executes a left turn into the cross-street, while another adversary vehicle simultaneously approaches the junction from that right-arm cross-street. The ego vehicle must maintain a safe following distance behind its lead vehicle while monitoring both intersecting adversaries to pass safely through the junction.",44 TJunction; 38 OppositeVehicleTakingPriority,T-junction,urban
MMUE_4,"Approaching a T-junction from a minor road, the ego vehicle (green box) attempts to turn right onto the main road. However, its maneuver is blocked by a queue of adversaries (yellow boxes) arriving from the right arm, with some passing straight through and others intending to turn left into the minor road, forcing the ego vehicle to yield and wait until the junction clears.",28 NonSignalizedJunctionRightTurn; 44 TJunction,T-junction,
MMUE_7,"At a T-junction, the ego vehicle (green box) initiates a right-hand turn while an adversary (yellow box) approaching from the opposing arm simultaneously executes a left-hand turn into the same intersecting road.",27 SignalizedJunctionRightTurn; 28 NonSignalizedJunctionRightTurn; 44 TJunction,T-junction,
MMUE_9,"The ego vehicle approaches a T-junction on a straight road in an urban area and intends to execute a left turn. Multiple adversary vehicles approaching from the right-arm cross-street intend to proceed straight through the junction, but all vehicles must pause and wait to allow a pedestrian to cross the road.",25 NonSignalizedJunctionLeftTurn; 44 TJunction; 19 PedestrianCrossing,T-junction; straight road,urban
PC_6,"The ego vehicle approaches and passes straight through a signalized 4-way intersection in an urban area while multiple pedestrians cross the crosswalks. Concurrently, several adversary vehicles enter the intersection from the left, right, and opposing arms, executing turns or proceeding straight. The ego vehicle must navigate carefully through the intersection to safely clear both the pedestrian traffic and the cross-turning vehicular adversaries.",19 PedestrianCrossing,4-way intersection,urban
PC_8,"While attempting to pass straight through a 4-way intersection, the ego vehicle (green box) encounters crossing pedestrians along with multiple adversaries (yellow boxes) approaching from different arms of the junction. These intersecting movements require the ego vehicle to yield and carefully monitor the cross-traffic and pedestrian paths before safely continuing straight.",19 PedestrianCrossing,4-way intersection,
